"drug_concept_name","drug_concept_id","UCLH","UHB"
"Levothyroxine sodium 50microgram tablets",21274382,"7752","<=10"
"Levothyroxine sodium 50micrograms/5ml oral solution sugar free",21292115,"357","<=10"
"Levothyroxine sodium 75microgram tablets",40694637,"19","<=10"
"Levothyroxine sodium anhydrous",21308921,"<=10","34928"
"Lidocaine",21234937,"<=10","614"
"Lidocaine",21271649,"<=10","134"
"Lidocaine + Prilocaine",21234938,"<=10","43"
"Lidocaine 10% spray sugar free",21199617,"958","<=10"
"Lidocaine 100mg/10ml (1%) solution for injection ampoules",21180849,"8289","<=10"
"Lidocaine 2% and Chlorhexidine gel",21255260,"2662","348"
"Lidocaine 2.5% / Prilocaine 2.5% cream",21218479,"82","<=10"
"Lidocaine 200mg/10ml (2%) solution for injection ampoules",21255238,"2191","<=10"
"Lidocaine 200mg/20ml (1%) / Adrenaline (base) 100micrograms/20ml (1 in 200,000) solution for injection vials",21255480,"1529","<=10"
"Lidocaine 36mg/1.8ml (2%) / Adrenaline (base) 22.5micrograms/1.8ml (1 in 80,000) solution for injection cartridges",40694613,"824","<=10"
"Lidocaine 4% cream",21254400,"<=10","<=10"
"Lidocaine 400mg/20ml (2%) / Adrenaline (base) 100micrograms/20ml (1 in 200,000) solution for injection vials",21199736,"22","<=10"
"Lidocaine 5% ointment",21180834,"247","112"
"Lidocaine 5% patches",21254857,"186","1001"
"Lidocaine hydrochloride 20 mg/mL cutaneous gel",4223557,"<=10","375"
"Lignocaine 1% gel",21255442,"<=10","<=10"
"Lignocaine 5% / Phenylephrine 0.5% nasal spray",21236637,"72","<=10"
"Linaclotide",21216704,"<=10","23"
"Linaclotide 290microgram capsules",21217051,"230","<=10"
"Linagliptin",21309723,"<=10","11693"
"Linagliptin + Metformin",21216700,"<=10","<=10"
"Linagliptin 2.5mg / Metformin 1g tablets",21179532,"11","12"
"Linagliptin 5mg tablets",21272848,"1403","<=10"
"Linezolid",21197706,"<=10","4616"
"Linezolid 100mg/5ml oral suspension",21311158,"44","<=10"
"Linezolid 600mg tablets",21292603,"606","<=10"
"Linezolid 600mg/300ml infusion bags",36816685,"322","<=10"
"Liothyronine",21197778,"<=10","150"
"Liothyronine 20microgram powder for solution for injection vials",21272851,"149","<=10"
"Liothyronine 20microgram tablets",21218586,"<=10","<=10"
"Liquid paraffin 50% / White soft paraffin 50% ointment",21180956,"3309","11692"
"Liquid paraffin light 70% gel",21199797,"15","<=10"
"Liquid paraffin liquid",21199627,"17","<=10"
"Liquigen emulsion",21293613,"<=10","295"
"Liraglutide",21235168,"<=10","629"
"Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices",21310268,"452","<=10"
"Lisdexamfetamine",21253763,"<=10","20"
"Lisdexamfetamine 20mg capsules",21198497,"<=10","<=10"
"Lisdexamfetamine 30mg capsules",21272890,"24","<=10"
"Lisinopril",21178899,"<=10","3561"
"Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets",21274159,"<=10","17"
"Lisinopril 10mg tablets",21200004,"1192","<=10"
"Lisinopril 2.5mg tablets",21274383,"210","<=10"
"Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets",21311476,"<=10","34"
"Lisinopril 20mg tablets",21274384,"534","<=10"
"Lisinopril 5mg tablets",21181163,"1076","<=10"
"Lithium",21309480,"<=10","1073"
"Lithium carbonate",21216660,"<=10","<=10"
"Lithium carbonate 200mg modified-release tablets",21237009,"271","<=10"
"Lithium carbonate 400mg modified-release tablets",21218509,"212","<=10"
"Lithium chloride",21291060,"<=10","<=10"
"Lithium citrate",21272381,"<=10","<=10"
"Lithium citrate 520mg/5ml oral solution sugar free",36816696,"150","<=10"
"Lixisenatide",21179187,"<=10","<=10"
"Lofepramine",21272128,"<=10","339"
"Lofepramine 70mg tablets",21181056,"112","<=10"
"Lofepramine 70mg/5ml oral suspension sugar free",36816697,"<=10","<=10"
"Lomustine 10mg capsules",21236256,"22","<=10"
"Lomustine 40mg capsules",21311280,"20","<=10"
"Loperamide",21197708,"<=10","38"
"Loperamide 1mg/5ml oral solution sugar free",21255693,"368","<=10"
"Loperamide 2mg capsules",21255720,"4677","<=10"
"Loperamide 2mg orodispersible tablets sugar free",21235412,"<=10","<=10"
"Loperamide 2mg tablets",21274126,"4557","<=10"
"Loperamide hydrochloride",21197155,"<=10","20602"
"Lopinavir + Ritonavir",21309486,"<=10","24"
"Loratadine",21197709,"<=10","3318"
"Loratadine 10mg oral lyophilisates sugar free",21198386,"<=10","<=10"
"Loratadine 10mg tablets",21274127,"1237","<=10"
"Lorazepam",21197710,"<=10","8118"
"Lorazepam 1mg tablets",21311686,"5500","<=10"
"Lorazepam 1mg/5ml oral solution",21273609,"84","<=10"
"Lorazepam 1mg/ml oral solution sugar free",40694478,"<=10","<=10"
"Lorazepam 2.5mg tablets",21181112,"<=10","<=10"
"Lorazepam 2mg/1ml solution for injection vials",36816704,"<=10","<=10"
"Lorazepam 4mg/1ml solution for injection ampoules",36816707,"2298","<=10"
"Lormetazepam 1mg tablets",21237064,"<=10","<=10"
"Losartan",21216415,"<=10","36"
"Losartan 100mg / Hydrochlorothiazide 12.5mg tablets",21217432,"14","38"
"Losartan 100mg / Hydrochlorothiazide 25mg tablets",21180245,"35","82"
"Losartan 100mg tablets",21218666,"1243","<=10"
"Losartan 25mg tablets",21311703,"2416","<=10"
"Losartan 50mg / Hydrochlorothiazide 12.5mg tablets",21311716,"61","62"
"Losartan 50mg tablets",21311702,"2576","<=10"
"Losartan potassium",21308909,"<=10","7292"
"Loteprednol",21253738,"<=10","48"
"Lotriderm cream",21312471,"<=10","346"
"Lumacaftor 200mg / Ivacaftor 125mg tablets",21272568,"<=10","<=10"
"Lurasidone",21253798,"<=10","22"
"Lymecycline",21309487,"<=10","87"
"Lymecycline 408mg capsules",21274289,"179","<=10"
"Lysine",21197820,"<=10","22"
"MabThera 100mg/10ml concentrate for solution for infusion vials",21294703,"23","<=10"
"MabThera 500mg/50ml concentrate for solution for infusion vials",21276088,"23","<=10"
"Macitentan",21309742,"<=10","<=10"
"Macrogol 3350 oral powder 8.5g sachets sugar free",40694755,"<=10","<=10"
"Macrogol compound half-strength oral powder sachets NPF sugar free",21218330,"127","<=10"
"Macrogol compound oral liquid 25ml sachets NPF sugar free",40694358,"20","<=10"
"Macrogol compound oral liquid NPF sugar free",21291496,"24241","<=10"
"Macrogol compound oral powder sachets NPF",21217350,"<=10","91244"
"Macrogol compound oral powder sachets NPF sugar free",21274139,"49316","<=10"
"Magnesium aspartate",21290876,"<=10","1746"
"Magnesium aspartate (magnesium 10mmol) oral powder sachets",21198188,"486","<=10"
"Magnesium citrate",21216528,"<=10","16293"
"Magnesium glycerophosphate",21253614,"<=10","45"
"Magnesium glycerophosphate (magnesium 121.25mg/5ml (5mmol/5ml)) oral suspension",21310107,"258","<=10"
"Magnesium glycerophosphate (magnesium 97.2mg (4mmol)) chewable tablets",21253961,"105","<=10"
"Magnesium glycerophosphate (magnesium 97.2mg (4mmol)) chewable tablets sugar free",21272929,"4780","<=10"
"Magnesium hydroxide 8% oral suspension",40694130,"25","<=10"
"Magnesium oxide",21197821,"<=10","<=10"
"Magnesium oxide 100mg capsules",21254951,"<=10","<=10"
"Magnesium sulfate",21179025,"<=10","15048"
"Magnesium sulfate 50% (magnesium 2mmol/ml) solution for injection 20ml vials",21309958,"21713","<=10"
"Magnesium trisilicate",21272241,"<=10","57"
"Malathion 0.5% aqueous liquid",36816741,"11","<=10"
"Mannitol",21290840,"<=10","177"
"Mannitol 100g/500ml (20%) infusion bags",36816751,"131","<=10"
"Mannitol 50g/500ml (10%) infusion bags",36816753,"279","<=10"
"Mannitol 75g/500ml (15%) infusion bags",40694048,"21","<=10"
"Maraviroc 150mg tablets",21179964,"45","<=10"
"Maxijul Super Soluble powder",40687332,"81","<=10"
"MCTprocal oral powder 16g sachets",21431941,"16","<=10"
"Measles, Mumps and Rubella vaccine (live) powder and solvent for solution for injection 0.5ml pre-filled syringes",40694000,"<=10","<=10"
"Mebendazole 100mg chewable tablets",21218554,"<=10","<=10"
"Mebeverine",21309488,"<=10","6939"
"Mebeverine-containing product",4225760,"<=10","<=10"
"Mebeverine 135mg tablets",21236990,"1805","<=10"
"Mebeverine 200mg modified-release capsules",21255662,"133","<=10"
"Mebeverine 50mg/5ml oral suspension sugar free",21199726,"222","<=10"
"Medi Derma-S barrier cream",21400840,"26","<=10"
"Medroxyprogesterone",21290828,"<=10","<=10"
"Medroxyprogesterone 100mg tablets",21311645,"19","<=10"
"Medroxyprogesterone 10mg tablets",21237100,"345","<=10"
"Medroxyprogesterone 150mg/1ml suspension for injection pre-filled syringes",36816766,"24","<=10"
"Medroxyprogesterone 200mg tablets",21311515,"14","<=10"
"Medroxyprogesterone 5mg tablets",21199913,"142","<=10"
"Medroxyprogesterone acetate",21290251,"<=10","230"
"Mefenamic acid",21309500,"<=10","80"
"Mefenamic acid 250mg capsules",21255713,"109","<=10"
"Mefenamic acid 500mg tablets",21255714,"<=10","<=10"
"Megestrol",21309501,"<=10","49"
"Megestrol 160mg tablets",21311541,"<=10","<=10"
"Meglumine amidotrizoate 260mg/ml / Sodium amidotrizoate 40mg/ml (Iodine 150mg/ml) solution for infusion 250ml bottles",21218026,"<=10","<=10"
"Meglumine amidotrizoate 3.3g/5ml / Sodium amidotrizoate 500mg/5ml oral solution sugar free",21409089,"224","<=10"
"Melatonin",21272153,"<=10","7294"
"Melatonin 2mg modified-release tablets",21218031,"6215","<=10"
"Meloxicam",21290790,"<=10","25"
"Meloxicam 15mg tablets",21311675,"<=10","<=10"
"Meloxicam 7.5mg tablets",21292988,"15","<=10"
"Melphalan",21272149,"<=10","116"
"Melphalan 50mg powder and solvent for solution for injection vials",36816787,"210","<=10"
"Memantine",21178916,"<=10","1764"
"Memantine 10mg tablets",21274181,"974","<=10"
"Memantine 10mg/ml oral solution sugar free",21199514,"96","<=10"
"Memantine 20mg tablets",21217322,"84","<=10"
"Menadiol",21234914,"<=10","193"
"Menadiol 10mg tablets",21311302,"50","<=10"
"Meningococcal group B vaccine",21235203,"<=10","<=10"
"Meningococcal groups A + C + W135 + Y vaccine",21253650,"<=10","<=10"
"Meningococcal oligosaccharide A, C, W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml vials",21198512,"<=10","<=10"
"Meningococcal polysaccharide A, C, W135 and Y conjugate vaccine powder and solvent for solution for injection 0.5ml pre-filled syringes",21217097,"<=10","<=10"
"Menotrophin 75unit powder and solvent for solution for injection vials",21236667,"<=10","<=10"
"Menthol",21290258,"<=10","2294"
"Menthol 1% in Aqueous cream",21180182,"11","<=10"
"Menthol 2% in Aqueous cream",21292108,"137","<=10"
"Mepacrine hydrochloride",21271819,"<=10","<=10"
"Mepolizumab",21272464,"<=10","<=10"
"Meptazinol",21253523,"<=10","50"
"Mercaptamine",21197915,"<=10","<=10"
"Mercaptopurine",21178917,"<=10","159"
"Mercaptopurine 10mg tablets",21291525,"416","<=10"
"Mercaptopurine 20mg/ml oral suspension",21236369,"26","<=10"
"Mercaptopurine 50mg tablets",21218373,"259","<=10"
"Meropenem",21272150,"<=10","44089"
"Meropenem-containing product",4318253,"<=10","221"
"Meropenem 1g powder for solution for injection vials",21218270,"8072","<=10"
"Meropenem 500mg powder for solution for injection vials",21199570,"15609","<=10"
"Mesalazine",21216620,"<=10","5588"
"Mesalazine 1.2g gastro-resistant modified-release tablets",21291845,"191","65"
"Mesalazine 1g modified-release granules sachets sugar free",36816813,"73","<=10"
"Mesalazine 1g modified-release tablets",21217146,"13","<=10"
"Mesalazine 1g suppositories",21180967,"77","<=10"
"Mesalazine 1g/100ml enemas",21199683,"<=10","<=10"
"Mesalazine 1g/application foam enema",36816812,"13","<=10"
"Mesalazine 250mg gastro-resistant tablets",21292902,"<=10","<=10"
"Mesalazine 250mg suppositories",21292873,"<=10","<=10"
"Mesalazine 2g/59ml enemas",21199637,"70","<=10"
"Mesalazine 400mg gastro-resistant tablets",21181022,"75","<=10"
"Mesalazine 500mg modified-release tablets",21255612,"261","<=10"
"Mesalazine 800mg gastro-resistant tablets",21291746,"134","<=10"
"Mesna",21234955,"<=10","1384"
"Mesna 1g/10ml solution for injection ampoules",36816814,"3546","<=10"
"Mesna 400mg tablets",21236709,"190","<=10"
"Mesna 400mg/4ml solution for injection ampoules",36816815,"79","<=10"
"Mesna 600mg tablets",21255280,"59","<=10"
"Metaraminol",21197779,"<=10","20625"
"Metaraminol-containing product",4165096,"<=10","<=10"
"Metaraminol 10mg/1ml solution for injection ampoules",36816817,"35924","<=10"
"Metformin",21272106,"<=10","18"
"Metformin-containing product",4033760,"<=10","<=10"
"Metformin 1g / Sitagliptin 50mg tablets",21254284,"206","<=10"
"Metformin 1g modified-release tablets",21198584,"<=10","<=10"
"Metformin 1g/5ml oral solution sugar free",40694286,"32","<=10"
"Metformin 500mg modified-release tablets",21217843,"6024","<=10"
"Metformin 500mg tablets",21237167,"24498","<=10"
"Metformin 500mg/5ml oral solution sugar free",21180193,"3052","<=10"
"Metformin 850mg tablets",21218681,"1270","<=10"
"Metformin hydrochloride",21234365,"<=10","50885"
"Methadone",21290829,"<=10","2596"
"Methadone 1mg/ml oral solution",36816820,"144","<=10"
"Methadone 1mg/ml oral solution sugar free",36816821,"2466","<=10"
"Methadone 50mg/1ml solution for injection ampoules",21199396,"21","<=10"
"Methadone 50mg/5ml solution for injection ampoules",36816826,"<=10","<=10"
"Methadone 5mg tablets",21255687,"138","<=10"
"Methenamine hippurate 1 g oral tablet",4154396,"<=10","21"
"Methenamine hippurate 1g tablets",21236889,"616","<=10"
"Methocarbamol",21290830,"<=10","246"
"Methocarbamol 750mg tablets",21237038,"109","<=10"
"Methotrexate",21178961,"<=10","241"
"Methotrexate 10mg tablets",21218630,"<=10","<=10"
"Methotrexate 10mg/0.2ml solution for injection pre-filled disposable devices",21198255,"<=10","<=10"
"Methotrexate 15mg/0.3ml solution for injection pre-filled disposable devices",21216964,"<=10","<=10"
"Methotrexate 15mg/0.6ml solution for injection pre-filled disposable devices",40694229,"<=10","<=10"
"Methotrexate 1g/10ml solution for injection vials",36816827,"403","<=10"
"Methotrexate 2.5mg tablets",21311655,"75","<=10"
"Methotrexate 20mg/0.4ml solution for injection pre-filled disposable devices",21198256,"<=10","<=10"
"Methotrexate 25mg/0.5ml solution for injection pre-filled disposable devices",21216963,"<=10","<=10"
"Methotrexate 2mg/ml oral solution sugar free",21179344,"<=10","<=10"
"Methotrexate 50mg/2ml solution for injection vials",36816831,"15","<=10"
"Methotrexate 5g/50ml solution for infusion vials",36816833,"243","<=10"
"Methotrexate 5mg/2ml solution for injection vials",36816834,"552","<=10"
"Methoxyflurane",21216732,"<=10","76"
"Methyldopa",21253568,"<=10","157"
"Methyldopa 125mg tablets",21218667,"<=10","<=10"
"Methyldopa 250mg tablets",21181137,"125","<=10"
"Methyldopa 500mg tablets",21181139,"12","<=10"
"Methylnaltrexone bromide 12mg/0.6ml solution for injection vials",36816853,"<=10","<=10"
"Methylphenidate",21197780,"<=10","<=10"
"Methylphenidate 10mg tablets",21255642,"55","<=10"
"Methylphenidate 18mg modified-release tablets",36816855,"55","<=10"
"Methylphenidate 27mg modified-release tablets",36816858,"11","<=10"
"Methylphenidate 30mg modified-release capsules",36816859,"19","<=10"
"Methylphenidate 36mg modified-release tablets",36816860,"30","<=10"
"Methylphenidate 54mg modified-release tablets",36816863,"<=10","<=10"
"Methylphenidate 5mg tablets",21255641,"<=10","<=10"
"Methylphenidate hydrochloride",21215884,"<=10","150"
"Methylprednisolone",21290831,"<=10","51"
"Methylprednisolone 100mg tablets",21311333,"19","<=10"
"Methylprednisolone 40mg/1ml / Lidocaine 10mg/1ml (1%) suspension for injection vials",36816864,"<=10","<=10"
"Methylprednisolone 4mg tablets",21311332,"<=10","<=10"
"Methylprednisolone acetate",21291004,"<=10","12"
"Methylprednisolone acetate 40mg/1ml suspension for injection vials",36816867,"197","<=10"
"Methylprednisolone acetate 80mg/2ml suspension for injection vials",36816868,"<=10","<=10"
"Methylprednisolone sodium succinate",21179154,"<=10","2346"
"Methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials",21292615,"688","<=10"
"Methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials",21292647,"911","<=10"
"Methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials",21199561,"<=10","<=10"
"Methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials",21255327,"709","<=10"
"Methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials",21255352,"919","<=10"
"Methylthioninium chloride",21197789,"<=10","65"
"Methylthioninium chloride (methylene blue) 50mg/10ml solution for injection ampoules",21179592,"121","<=10"
"Metoclopramide",21253569,"<=10","32600"
"Metoclopramide 10mg tablets",21200008,"21031","<=10"
"Metoclopramide 5mg/5ml oral solution sugar free",21274191,"1224","<=10"
"Metoclopramide 5mg/ml injection 2ml ampoules",21274202,"14763","<=10"
"Metolazone",21234996,"<=10","709"
"Metolazone-containing product",4319136,"<=10","<=10"
"Metolazone 2.5mg tablets",21254139,"118","<=10"
"Metolazone 5mg tablets",21218671,"35","<=10"
"Metoprolol",21234997,"<=10","2498"
"Metoprolol 50mg tablets",21293021,"2029","<=10"
"Metoprolol 5mg/5ml solution for injection ampoules",21180886,"6857","<=10"
"Metronidazole",21234998,"<=10","20519"
"Metronidazole 0.75% cream",21236996,"<=10","<=10"
"Metronidazole 0.75% gel",21218489,"78","20"
"Metronidazole 200mg tablets",21274385,"161","<=10"
"Metronidazole 200mg/5ml oral suspension",21181035,"381","<=10"
"Metronidazole 400mg tablets",21181172,"3123","<=10"
"Metronidazole 500mg/100ml solution for infusion bottles",40694154,"21886","<=10"
"Metyrapone",21309543,"<=10","158"
"Metyrapone 250mg capsules",21236810,"59","<=10"
"Mexiletine",21234999,"<=10","692"
"Mexiletine 100mg capsules",21291395,"48","<=10"
"Micafungin",21309706,"<=10","<=10"
"Micafungin 100mg powder for solution for injection vials",21273038,"<=10","<=10"
"Micafungin 50mg powder for solution for injection vials",21198640,"47","<=10"
"Micolette Micro-enema 5ml",21219546,"<=10","37"
"Miconazole",21290832,"<=10","1269"
"Miconazole 2% cream",21255486,"362","<=10"
"Miconazole 2% powder",36816896,"<=10","<=10"
"Miconazole 20mg/g oral gel sugar free",21236968,"235","<=10"
"Midazolam",21178963,"<=10","110051"
"Midazolam 10mg/2ml oromucosal solution pre-filled oral syringes sugar free",40693537,"77","<=10"
"Midazolam 10mg/2ml solution for injection ampoules",36816897,"20649","<=10"
"Midazolam 10mg/5ml solution for injection ampoules",36816898,"7372","<=10"
"Midazolam 2.5mg/0.5ml oromucosal solution pre-filled oral syringes sugar free",40693239,"14","<=10"
"Midazolam 50mg/10ml solution for injection ampoules",36816901,"7182","<=10"
"Midazolam 50mg/50ml solution for infusion vials",21218255,"<=10","<=10"
"Midazolam 5mg/1ml oromucosal solution pre-filled oral syringes sugar free",40693234,"49","<=10"
"Midazolam 5mg/5ml solution for injection ampoules",36816902,"16866","<=10"
"Midazolam 7.5mg/1.5ml oromucosal solution pre-filled oral syringes sugar free",40693225,"<=10","<=10"
"Midodrine",21309545,"<=10","5769"
"Midodrine 2.5mg tablets",21255132,"2193","<=10"
"Midodrine 5mg tablets",21199361,"2822","<=10"
"Midostaurin 25mg capsules",40693216,"427","<=10"
"Mifamurtide",21216674,"<=10","<=10"
"Mifamurtide 4mg powder for suspension for infusion vials",21291570,"134","<=10"
"Mifepristone 200mg tablets",21273863,"59","<=10"
"Migalastat 123mg capsules",40693208,"<=10","<=10"
"Milrinone",21216474,"<=10","44272"
"Milrinone 10mg/10ml solution for infusion ampoules",36816913,"<=10","<=10"
"Minims oxybuprocaine hydrochloride 0.4% eye drops 0.5ml unit dose",21219727,"<=10","<=10"
"Minims tetracaine hydrochloride 1% eye drops 0.5ml unit dose",21219683,"<=10","<=10"
"Minocycline",21178964,"<=10","77"
"Minocycline 100mg tablets",21311742,"60","<=10"
"Minoxidil",21178965,"<=10","434"
"Minoxidil 10mg tablets",21236899,"<=10","<=10"
"Minoxidil 2.5mg tablets",21292759,"51","<=10"
"Minoxidil 5mg tablets",21180871,"72","<=10"
"Mirabegron",21309735,"<=10","2394"
"Mirtazapine",21235001,"<=10","18325"
"Mirtazapine 15mg orodispersible tablets",21199397,"675","<=10"
"Mirtazapine 15mg tablets",21292231,"4467","<=10"
"Mirtazapine 15mg/ml oral solution sugar free",21199153,"<=10","<=10"
"Mirtazapine 30mg orodispersible tablets",21292529,"385","<=10"
"Mirtazapine 30mg tablets",21181007,"2061","<=10"
"Mirtazapine 45mg orodispersible tablets",21311096,"179","<=10"
"Mirtazapine 45mg tablets",21180299,"958","<=10"
"Misoprostol",21235002,"<=10","353"
"Misoprostol 200microgram tablets",21218598,"779","<=10"
"Mitomycin",21216028,"<=10","19"
"Mitomycin-C 20mg powder for solution for injection vials",21180531,"<=10","<=10"
"Mitomycin 40mg powder and solvent for intravesical solution vials",40693123,"67","<=10"
"Mitomycin 40mg powder for solution for injection vials",21180530,"<=10","<=10"
"Mitotane",21179119,"<=10","199"
"Mitoxantrone 20mg/10ml solution for infusion vials",21273932,"29","<=10"
"Mizolastine",21235004,"<=10","14"
"Moclobemide-containing product",4153611,"<=10","<=10"
"Modafinil",21178970,"<=10","147"
"Modafinil 100mg tablets",21180870,"58","<=10"
"Modulen IBD powder",21399002,"104","15"
"Mometasone",21216478,"<=10","2617"
"Mometasone 0.1% cream",21255676,"291","<=10"
"Mometasone 0.1% ointment",21237102,"482","<=10"
"Mometasone 0.1% scalp lotion",21292969,"17","<=10"
"Mometasone 50micrograms/actuation nasal spray",21218519,"542","<=10"
"Montelukast",21178971,"<=10","4984"
"Montelukast 10mg tablets",21311646,"2110","<=10"
"Montelukast 4mg chewable tablets sugar free",21199914,"<=10","<=10"
"Montelukast 5mg chewable tablets sugar free",21274298,"30","<=10"
"Moroctocog alfa",21216621,"<=10","16"
"Morphine",21197693,"<=10","300247"
"Morphine-containing product",4249168,"<=10","11"
"Morphine 100mg modified-release granules sachets sugar free",21199624,"<=10","<=10"
"Morphine 100mg modified-release tablets",36816943,"204","<=10"
"Morphine 10mg modified-release capsules",36816944,"109","<=10"
"Morphine 10mg modified-release tablets",36816945,"15541","<=10"
"Morphine 10mg tablets",21199810,"2204","<=10"
"Morphine 15mg modified-release tablets",36816948,"85","<=10"
"Morphine 200mg modified-release tablets",36816950,"21","<=10"
"Morphine 20mg modified-release granules sachets sugar free",21180714,"3680","<=10"
"Morphine 20mg tablets",21218472,"332","<=10"
"Morphine 30mg modified-release granules sachets sugar free",21255330,"737","<=10"
"Morphine 30mg modified-release tablets",36816953,"3077","<=10"
"Morphine 50mg tablets",21218473,"<=10","<=10"
"Morphine 5mg modified-release tablets",36816955,"5463","<=10"
"Morphine 60mg modified-release granules sachets sugar free",21255368,"136","<=10"
"Morphine 60mg modified-release tablets",36816957,"422","<=10"
"Morphine sulfate 100mg/100ml infusion bags",21179646,"3490","<=10"
"Morphine sulfate 10mg/1ml solution for injection pre-filled syringes",21292161,"46080","<=10"
"Morphine sulfate 10mg/5ml oral solution",36816962,"77066","<=10"
"Morphine sulfate 1mg/1ml solution for injection ampoules",21272739,"2177","<=10"
"Morphine sulfate 20mg/ml oral solution sugar free",36816964,"13","<=10"
"Morphine sulfate 30mg/1ml solution for injection ampoules",36816965,"37","<=10"
"Morphine sulfate 60mg/2ml solution for injection ampoules",36816966,"<=10","<=10"
"Movicol Liquid",21241188,"<=10","12"
"Moxifloxacin",21178919,"<=10","2201"
"Moxifloxacin 0.5% eye drops",21198487,"170","<=10"
"Moxifloxacin 400mg tablets",21180716,"240","<=10"
"Moxifloxacin 400mg/250ml solution for infusion bottles",21235690,"<=10","<=10"
"Moxonidine",21272152,"<=10","1327"
"Moxonidine 200microgram tablets",21293022,"248","<=10"
"Moxonidine 300microgram tablets",21274358,"49","<=10"
"Moxonidine 400microgram tablets",21199968,"74","<=10"
"Mucin + Xylitol",21235107,"<=10","60"
"Multi-thick powder",40687436,"<=10","<=10"
"Multivitamin tablets",36816975,"4226","2368"
"Mupirocin",21234347,"<=10","44621"
"Mupirocin 2% nasal ointment",21236993,"2006","<=10"
"Mupirocin 2% ointment",21292858,"368","1913"
"Mycophenolate mofetil",21216565,"<=10","14497"
"Mycophenolate mofetil-containing product",4031615,"<=10","<=10"
"Mycophenolate mofetil 1g/5ml oral suspension sugar free",21199468,"704","<=10"
"Mycophenolate mofetil 250mg capsules",21199722,"1220","<=10"
"Mycophenolate mofetil 500mg powder for solution for injection vials",21218278,"2878","<=10"
"Mycophenolate mofetil 500mg tablets",21274095,"3655","<=10"
"Mycophenolic acid",21253644,"<=10","845"
"Mycophenolic acid 180mg gastro-resistant tablets",21236489,"27","<=10"
"Mycophenolic acid 360mg gastro-resistant tablets",21292382,"11","<=10"
"MyriBase gel",40692919,"39","<=10"
"Nabumetone",21309552,"<=10","16"
"Nadolol",21178973,"<=10","<=10"
"Naftidrofuryl",21253571,"<=10","219"
"Naftidrofuryl 100mg capsules",21199971,"34","<=10"
"Naloxegol",21235217,"<=10","764"
"Naloxegol",40692874,"<=10","<=10"
"Naloxegol 12.5mg tablets",21235365,"413","<=10"
"Naloxegol 25mg tablets",21272601,"1016","<=10"
"Naloxone",21216495,"<=10","828"
"Naloxone 400micrograms/1ml solution for injection pre-filled syringes",36816988,"453","<=10"
"Naltrexone",21178988,"<=10","19"
"Naltrexone 50mg tablets",21199727,"18","<=10"
"Naproxen",21235024,"<=10","4261"
"Naproxen 250mg gastro-resistant tablets",21237136,"49","<=10"
"Naproxen 250mg tablets",21181116,"3388","<=10"
"Naproxen 500mg tablets",21292996,"1665","<=10"
"Naseptin nasal cream",21312436,"<=10","1361"
"Natalizumab",21272357,"<=10","<=10"
"Natalizumab 300mg/15ml solution for infusion vials",36817005,"238","<=10"
"Nateglinide",21197796,"<=10","36"
"Nateglinide 60mg tablets",21255472,"41","<=10"
"Nebivolol",21235025,"<=10","971"
"Nebivolol 10mg tablets",21254068,"<=10","<=10"
"Nebivolol 2.5mg tablets",21198557,"45","<=10"
"Nebivolol 5mg tablets",21237158,"199","<=10"
"Nefopam",21272212,"<=10","1229"
"Nefopam 30mg tablets",21274263,"106","<=10"
"Nelarabine 250mg/50ml solution for infusion vials",21236096,"21","<=10"
"Neocate Junior powder",40687397,"104","<=10"
"Neomycin 0.5% / Chlorhexidine hydrochloride 0.1% cream",21180981,"838","569"
"Neomycin 500mg tablets",21218326,"<=10","<=10"
"Neostigmine",21234915,"<=10","24"
"Neostigmine 2.5mg/1ml / Glycopyrronium bromide 500micrograms/1ml solution for injection ampoules",36817009,"3285","<=10"
"Neostigmine 2.5mg/1ml solution for injection ampoules",36817010,"<=10","<=10"
"Nepafenac 1mg/ml eye drops",21291628,"189","<=10"
"Nepro HP liquid",21330199,"1076","<=10"
"Netupitant + Palonosetron",21235218,"<=10","<=10"
"Netupitant 300mg / Palonosetron hydrochloride 500micrograms capsules",21253946,"<=10","<=10"
"Nevirapine 200mg tablets",21311254,"51","<=10"
"Nevirapine 400mg modified-release tablets",21291471,"15","<=10"
"Nicorandil",21272213,"<=10","5091"
"Nicorandil 10mg tablets",21199982,"1761","<=10"
"Nicorandil 20mg tablets",21199981,"103","<=10"
"Nicotinamide",21197904,"<=10","57"
"Nicotine",21234382,"<=10","<=10"
"Nicotine",21234926,"<=10","8745"
"Nicotine 10mg/16hours transdermal patches",36817019,"<=10","<=10"
"Nicotine 14mg/24hours transdermal patches",36817020,"2043","<=10"
"Nicotine 15mg inhalation cartridges with device",21310148,"243","<=10"
"Nicotine 15mg/16hours transdermal patches",36817021,"<=10","<=10"
