"condition_concept_name","condition_concept_id","UCLH","UHB"
"Helminth infection",441793,"<=10","<=10"
"Helminthiasis, unspecified",45566563,"<=10","<=10"
"Hemangioendothelioma",4298139,"<=10","<=10"
"Hemangioma",441818,"20","<=10"
"Hemangioma of intracranial structure",441246,"<=10","<=10"
"Hemangioma of liver",4247079,"28","<=10"
"Hemangioma of skin",4246665,"<=10","<=10"
"Hemangioma of vertebral column",40488918,"<=10","<=10"
"Hemangiopericytoma",4046649,"<=10","<=10"
"Hemarthrosis",76784,"21","13"
"Hemarthrosis of knee",75043,"<=10","<=10"
"Hemarthrosis of left knee",37117114,"<=10","<=10"
"Hematemesis",26727,"45","<=10"
"Hematochezia",443530,"<=10","<=10"
"Hematocrit above reference range",4013515,"<=10","<=10"
"Hematologic neoplasm of uncertain behavior",438111,"17","<=10"
"Hematoma",4299449,"35","<=10"
"Hematoma of brain",4199890,"<=10","<=10"
"Hematoma of broad ligament",432366,"<=10","<=10"
"Hematoma of face",4310298,"<=10","<=10"
"Hematoma of kidney",4135626,"<=10","<=10"
"Hematoma of left lower leg",37309972,"<=10","<=10"
"Hematoma of lower limb",42709831,"14","<=10"
"Hematoma of neck",40491822,"<=10","<=10"
"Hematoma of obstetric wound",4161205,"<=10","<=10"
"Hematoma of perianal region",42709943,"<=10","<=10"
"Hematoma of pinna",376419,"<=10","<=10"
"Hematoma of rectus sheath",4147276,"<=10","<=10"
"Hematoma of right knee region",37309969,"<=10","<=10"
"Hematoma of scalp",4258539,"<=10","<=10"
"Hematoma of scrotum",4234260,"<=10","<=10"
"Hematoma of subdural space of neuraxis",42709922,"218","<=10"
"Hematoma of thigh",4146007,"<=10","<=10"
"Hematoma of vulva",437922,"<=10","<=10"
"Hematometra",195876,"16","<=10"
"Hematopoietic system finding",4021915,"<=10","<=10"
"Hematuria of undiagnosed cause",4194436,"15","<=10"
"Hemianesthesia",4032776,"<=10","<=10"
"Hemianopia",4300870,"<=10","<=10"
"Hemichorea",4013217,"<=10","<=10"
"Hemicrania continua",40480082,"<=10","<=10"
"Hemifacial microsomia",4109052,"<=10","<=10"
"Hemifacial spasm",4029329,"54","<=10"
"Hemimelia of lower limb",4217479,"<=10","<=10"
"Hemiparesis",4065756,"<=10","<=10"
"Hemiparesis as late effect of cerebrovascular accident",40481389,"<=10","<=10"
"Hemiplegia",374022,"<=10","<=10"
"Hemiplegia and/or hemiparesis following stroke",44782781,"<=10","<=10"
"Hemiplegia of dominant side",40482237,"<=10","<=10"
"Hemiplegia of left nondominant side",42535481,"<=10","<=10"
"Hemiplegia, unspecified",45562106,"<=10","2785"
"Hemiplegic cerebral palsy",134031,"<=10","<=10"
"Hemiplegic migraine",433763,"18","<=10"
"Hemochromatosis",4163735,"666","<=10"
"Hemodynamic instability",4311860,"<=10","<=10"
"Hemoglobin below reference range",4013074,"163","<=10"
"Hemoglobin C disease",4176425,"<=10","<=10"
"Hemoglobin C trait",4296149,"<=10","<=10"
"Hemoglobin Constant Spring trait",4125628,"<=10","<=10"
"Hemoglobin D disease",4280961,"<=10","<=10"
"Hemoglobin D trait",4252396,"<=10","<=10"
"Hemoglobin E trait",4262394,"<=10","<=10"
"Hemoglobin H disease",4168911,"<=10","<=10"
"Hemoglobin O-Arab trait",40484201,"<=10","<=10"
"Hemoglobin S sickling disorder with crisis",4216915,"<=10","<=10"
"Hemoglobin SS disease with crisis",26942,"590","62"
"Hemoglobin SS disease with vasoocclusive crisis",4209085,"<=10","<=10"
"Hemoglobin SS disease without crisis",30683,"30","<=10"
"Hemoglobinopathy",432868,"<=10","<=10"
"Hemolysis",4250490,"362","<=10"
"Hemolytic anemia",435503,"<=10","<=10"
"Hemolytic anemia due to drugs",4218100,"<=10","<=10"
"Hemolytic disease of fetus OR newborn due to ABO immunization",437090,"<=10","<=10"
"Hemolytic transfusion reaction",4218193,"<=10","<=10"
"Hemolytic uremic syndrome",197253,"296","<=10"
"Hemopericardium",258449,"<=10","<=10"
"Hemophagocytic lymphohistiocytosis",4121123,"401","<=10"
"Hemophilia",4236898,"15","<=10"
"Hemophilia carrier",4101600,"<=10","<=10"
"Hemopneumothorax",4042409,"<=10","<=10"
"Hemoptysis",261687,"321","215"
"Hemorrhage into bladder wall",76154,"<=10","<=10"
"Hemorrhage into peritoneal cavity",40483641,"<=10","<=10"
"Hemorrhage into subarachnoid space of neuraxis",42873109,"231","<=10"
"Hemorrhage into subdural space of neuraxis",42709921,"<=10","<=10"
"Hemorrhage of abdominal cavity structure",40478937,"<=10","<=10"
"Hemorrhage of corpus cavernosum",4290251,"<=10","<=10"
"Hemorrhage of corpus luteum cyst",4319451,"<=10","<=10"
"Hemorrhage of left vitreous body",36684673,"<=10","<=10"
"Hemorrhage of liver",4043254,"<=10","<=10"
"Hemorrhage of penis",4177495,"<=10","<=10"
"Hemorrhage of rectum and anus",197925,"<=10","<=10"
"Hemorrhagic cerebral infarction",4046362,"30","<=10"
"Hemorrhagic colitis",4216673,"<=10","<=10"
"Hemorrhagic complication of pregnancy",4025198,"<=10","<=10"
"Hemorrhagic cyst of ovary",4002233,"13","<=10"
"Hemorrhagic cystitis",4227291,"118","<=10"
"Hemorrhagic diarrhea",4318833,"47","51"
"Hemorrhagic duodenitis",437027,"<=10","<=10"
"Hemorrhoids",195562,"692","210"
"Hemorrhoids in pregnancy",4143296,"<=10","<=10"
"Hemorrhoids in pregnancy and the puerperium with antenatal complication",4066134,"<=10","<=10"
"Hemorrhoids without complication",4305808,"<=10","<=10"
"Hemosiderin pigmentation of skin",40482035,"<=10","<=10"
"Hemospermia",439871,"<=10","<=10"
"Hemothorax",4135466,"18","<=10"
"Hepatic artery stenosis",4226129,"<=10","<=10"
"Hepatic artery thrombosis",4223098,"<=10","<=10"
"Hepatic ascites",4342883,"<=10","<=10"
"Hepatic congestion",4296301,"<=10","<=10"
"Hepatic encephalopathy",4029488,"25","<=10"
"Hepatic failure",4245975,"55","18"
"Hepatic failure, unspecified",45533613,"<=10","252"
"Hepatic fibrosis",4267417,"<=10","<=10"
"Hepatic fibrosis",45586732,"53","95"
"Hepatic sclerosis",4340394,"<=10","<=10"
"Hepatic sclerosis",45572229,"<=10","<=10"
"Hepatic vein thrombosis",4301208,"<=10","<=10"
"Hepatic veno-occlusive disease",45591607,"<=10","<=10"
"Hepatitis A immune",4149957,"<=10","<=10"
"Hepatitis A without hepatic coma",45566537,"<=10","<=10"
"Hepatitis B antibody present",4196587,"11","<=10"
"Hepatitis B core antibody detected",42537336,"37","<=10"
"Hepatitis B immune",4150785,"<=10","<=10"
"Hepatitis B surface antigen detected",4014007,"56","<=10"
"Hepatitis C antibody detected",4196134,"<=10","<=10"
"Hepatomegaly with splenomegaly, not elsewhere classified",45558458,"185","92"
"Hepatomegaly, not elsewhere classified",45534432,"124","150"
"Hepatopulmonary syndrome",4159144,"<=10","<=10"
"Hepatorenal syndrome",45557677,"<=10","43"
"Hepatosplenic T-cell lymphoma",45605328,"<=10","<=10"
"Hepatosplenomegaly",4279681,"<=10","<=10"
"Hereditary amyloidosis",37109308,"<=10","<=10"
"Hereditary and idiopathic neuropathy, unspecified",45562101,"<=10","<=10"
"Hereditary angioedema",4307793,"<=10","<=10"
"Hereditary ataxia, unspecified",45562076,"<=10","67"
"Hereditary cavernous hemangioma of brain",37396995,"<=10","<=10"
"Hereditary choroidal dystrophy",45543019,"<=10","<=10"
"Hereditary corneal dystrophies",45581612,"<=10","13"
"Hereditary deficiency of other clotting factors",45537925,"131","66"
"Hereditary disease",443916,"<=10","<=10"
"Hereditary disease in family possibly affecting fetus",444222,"<=10","<=10"
"Hereditary disturbances in tooth structure, not elsewhere classified",45548132,"<=10","<=10"
"Hereditary elliptocytosis",22288,"<=10","<=10"
"Hereditary elliptocytosis",45571636,"<=10","<=10"
"Hereditary erythropoietic porphyria",45576475,"<=10","<=10"
"Hereditary factor IX deficiency",45600611,"<=10","11"
"Hereditary factor IX deficiency disease",436678,"<=10","<=10"
"Hereditary factor VIII deficiency",45532993,"<=10","52"
"Hereditary factor VIII deficiency disease",434007,"13","<=10"
"Hereditary factor XI deficiency",45591016,"<=10","<=10"
"Hereditary fructosuria",432873,"<=10","<=10"
"Hereditary haemolytic anaemia, unspecified",45557085,"<=10","14"
"Hereditary haemorrhagic telangiectasia",45552850,"<=10","<=10"
"Hereditary hemochromatosis",4148231,"89","<=10"
"Hereditary hollow viscus myopathy",4270789,"18","<=10"
"Hereditary liability to pressure palsies",4043580,"<=10","<=10"
"Hereditary lymphedema",4110252,"<=10","<=10"
"Hereditary lymphedema type I",4266044,"<=10","<=10"
"Hereditary lymphoedema",45592394,"<=10","<=10"
"Hereditary macular dystrophy",4173026,"<=10","<=10"
"Hereditary motor and sensory neuropathy",4134552,"37","<=10"
"Hereditary motor and sensory neuropathy",45538131,"<=10","76"
"Hereditary nephritis",4161421,"<=10","<=10"
"Hereditary nephrogenic diabetes insipidus",4265337,"<=10","<=10"
"Hereditary nephropathy, not elsewhere classified, diffuse crescentic glomerulonephritis",45548645,"<=10","<=10"
"Hereditary nephropathy, not elsewhere classified, other",45572697,"<=10","<=10"
"Hereditary nephropathy, not elsewhere classified, unspecified",45548646,"<=10","<=10"
"Hereditary pancreatitis",4194916,"<=10","<=10"
"Hereditary periodic fever",4294300,"<=10","<=10"
"Hereditary peripheral neuropathy",377554,"<=10","<=10"
"Hereditary persistence of fetal haemoglobin [HPFH]",45600605,"37","<=10"
"Hereditary persistence of fetal hemoglobin thalassemia",4061151,"<=10","<=10"
"Hereditary persistence of fetal hemoglobin with sickle cell disease syndrome",37204550,"<=10","<=10"
"Hereditary pheochromocytoma and paraganglioma",37396883,"<=10","<=10"
"Hereditary retinal dystrophy",45552678,"51","43"
"Hereditary sensory-motor neuropathy, type I",4161690,"<=10","<=10"
"Hereditary sensory and autonomic neuropathy type II",4162241,"<=10","<=10"
"Hereditary sideroblastic anaemia",45576409,"<=10","<=10"
"Hereditary site-specific ovarian cancer syndrome",36674976,"<=10","<=10"
"Hereditary spastic paraplegia",192901,"22","<=10"
"Hereditary spastic paraplegia",45533130,"45","<=10"
"Hereditary spherocytosis",24909,"<=10","<=10"
"Hereditary spherocytosis",45532990,"<=10","15"
"Heredofamilial amyloidosis, unspecified",45547665,"<=10","11"
"Hermansky-Pudlak syndrome",4245912,"<=10","<=10"
"Hernia of abdominal cavity",199860,"46","<=10"
"Hernia of abdominal wall",4028373,"18","<=10"
"Hernia of anterior abdominal wall",4188155,"70","<=10"
"Herniated urinary bladder",4254781,"82","<=10"
"Herniation of nucleus pulposus",4225257,"<=10","<=10"
"Herniation of rectum into vagina",40490888,"62","<=10"
"Heroin dependence",4333676,"<=10","<=10"
"Heroin overdose",4170687,"<=10","<=10"
"Herpes gestationis",4311256,"<=10","<=10"
"Herpes gestationis",45543926,"<=10","<=10"
"Herpes in pregnancy",4164216,"<=10","<=10"
"Herpes labialis",4033227,"<=10","<=10"
"Herpes simplex",444429,"50","<=10"
"Herpes simplex infection of skin",4347544,"23","<=10"
"Herpes simplex keratitis",4311484,"<=10","<=10"
"Herpes simplex meningitis",441787,"<=10","<=10"
"Herpes simplex type 1 infection",4234499,"<=10","<=10"
"Herpes simplex type 2 infection",4251448,"<=10","<=10"
"Herpes zoster",443943,"82","<=10"
"Herpes zoster auricularis",138682,"<=10","<=10"
"Herpes zoster keratitis",4265860,"<=10","<=10"
"Herpes zoster ophthalmicus",372828,"<=10","<=10"
"Herpesviral encephalitis",45547436,"11","14"
"Herpesviral gingivostomatitis and pharyngotonsillitis",45547435,"33","<=10"
"Herpesviral infection, unspecified",45576253,"<=10","29"
"Herpesviral keratitis and keratoconjunctivitis",45576686,"<=10","<=10"
"Herpesviral ocular disease",45561736,"<=10","<=10"
"Herpesviral vesicular dermatitis",45566530,"40","32"
"Heterophil-positive mononucleosis syndrome",4189358,"<=10","<=10"
"Heterophoria",45547930,"<=10","<=10"
"Heterozygous Factor V Leiden mutation",4144779,"25","<=10"
"Heterozygous prothrombin G20210A mutation",4257881,"<=10","<=10"
"Heterozygous thalassemia",4023612,"46","<=10"
"Hiatal hernia",4224004,"497","<=10"
"Hiatal hernia with gastroesophageal reflux",4159156,"<=10","<=10"
"Hiatus hernia with obstruction",4148483,"<=10","<=10"
"Hiccough",45582692,"<=10","75"
"Hiccoughs",194475,"<=10","<=10"
"Hidradenitis",434119,"17","<=10"
"Hidradenitis suppurativa",4241223,"46","<=10"
"Hidradenitis suppurativa",45557711,"102","116"
"Hidradenitis suppurativa of anus",4087429,"<=10","<=10"
"High affinity hemoglobin",4122933,"<=10","<=10"
"High alcohol level in blood",40484946,"<=10","<=10"
"High anal fistula",4127647,"<=10","<=10"
"High carcinoembryonic antigen level",40482494,"<=10","<=10"
"High enzyme level in serum",40480939,"<=10","<=10"
"High frequency deafness",4051469,"<=10","<=10"
"High grade B-cell lymphoma",4079692,"259","<=10"
"High grade dysplasia of colon",44808367,"<=10","<=10"
"High grade squamous intraepithelial lesion on cervical Papanicolaou smear",45763589,"<=10","<=10"
"High hemoglobin A1c level",40480694,"<=10","<=10"
"High output ileostomy",4143874,"59","<=10"
"High oxygen affinity hemoglobin polycythemia",4190447,"96","<=10"
"High risk for cervical cancer",42534998,"<=10","<=10"
"High risk pregnancy",4188598,"241","<=10"
"High risk pregnancy due to history of preterm labor",40480278,"155","<=10"
"High risk pregnancy due to recurrent pregnancy loss",37018878,"27","<=10"
"High troponin I level",40481546,"<=10","<=10"
"Hilar lymphadenopathy",4338094,"<=10","<=10"
"Hilar mass",4206141,"<=10","<=10"
"Hill-Sachs lesion",4117238,"<=10","<=10"
"Hip DXA scan result normal",4192179,"<=10","<=10"
"Hip joint effusion",4117712,"<=10","<=10"
"Hip joint painful on movement",4102267,"<=10","<=10"
"Hip pain",4170554,"221","<=10"
"Hip unstable",4172835,"<=10","<=10"
"Hirschsprung disease",45601961,"24","<=10"
"Hirsutism",134718,"<=10","<=10"
"Hirsutism",45591642,"<=10","<=10"
"Histiocytic and mast cell tumours of uncertain and unknown behaviour",45537914,"<=10","<=10"
"Histiocytic necrotizing lymphadenitis",4130834,"<=10","<=10"
"Histiocytic syndrome",4130197,"40","<=10"
"History of abdominal hysterectomy",43021406,"40","<=10"
"History of ablation of atrioventricular node",4325872,"<=10","<=10"
"History of abnormal cervical Papanicolaou smear",4235947,"<=10","<=10"
"History of abuse",4197467,"<=10","<=10"
"History of acute ST segment elevation myocardial infarction",37395582,"<=10","<=10"
"History of adenoidectomy",4323207,"<=10","<=10"
"History of adenomatous polyp of colon",4181612,"69","<=10"
"History of adrenalectomy",46273498,"<=10","<=10"
"History of alcohol abuse",4160230,"47","<=10"
"History of alcohol use",37208405,"<=10","<=10"
"History of allergic reaction to hair dye",43021356,"<=10","<=10"
"History of allergy to drug",42536906,"<=10","<=10"
"History of allotransplantation of bone marrow",46270148,"153","<=10"
"History of amaurosis fugax",37108803,"<=10","<=10"
"History of amputation of foot",4323766,"<=10","<=10"
"History of amputation of left leg through femur",36713085,"<=10","<=10"
"History of amputation of leg through tibia and fibula",4324317,"<=10","<=10"
"History of amputation of lesser toe",4322736,"<=10","<=10"
"History of amputation of lower limb above knee",43531147,"<=10","<=10"
"History of amputation of right leg through tibia and fibula",36712903,"<=10","<=10"
"History of anaphylaxis",37108679,"<=10","<=10"
"History of anemia",4077222,"11","<=10"
"History of anemia vitamin B12 deficient",4059187,"<=10","<=10"
"History of angioplasty",43022009,"23","<=10"
"History of antepartum hemorrhage",4058564,"11","<=10"
"History of antineoplastic chemotherapy",46274064,"38","<=10"
"History of aortic valve repair",44782435,"<=10","<=10"
"History of aortic valve replacement",43530644,"509","<=10"
"History of appendectomy",4323208,"177","<=10"
"History of arterial bypass of lower limb artery",4181951,"50","<=10"
"History of arthrodesis of ankle",46270618,"<=10","<=10"
"History of arthroscopic procedure on shoulder",4322724,"<=10","<=10"
"History of arthroscopy of knee joint",4182423,"<=10","<=10"
"History of asbestos exposure",4058422,"<=10","<=10"
"History of astrocytoma of brain",46273377,"<=10","<=10"
"History of atrial flutter",4323077,"<=10","<=10"
"History of attempted suicide",4058281,"16","<=10"
"History of augmentation of breast",4176916,"16","<=10"
"History of autoimmune disorder of endocrine system",43021967,"<=10","<=10"
"History of autologous bone marrow transplant",46269898,"38","<=10"
"History of bariatric surgical procedure",43531149,"55","<=10"
"History of Barrett's esophagus",37016223,"30","<=10"
"History of behavior problem",4058716,"<=10","<=10"
"History of Bell's palsy",4058719,"<=10","<=10"
"History of benign neoplasm of brain",4323045,"<=10","<=10"
"History of bilateral breast implants",43530678,"<=10","<=10"
"History of bilateral lower limb amputation",37117592,"<=10","<=10"
"History of bilateral mastectomy",4323616,"17","<=10"
"History of bilateral salpingo-oophorectomy",4179662,"<=10","<=10"
"History of blood transfusion",4058859,"44","<=10"
"History of bone marrow transplant",46270345,"19","<=10"
"History of bowel obstruction",46270487,"12","<=10"
"History of brachytherapy",37016261,"<=10","<=10"
"History of breast reconstruction",46270589,"<=10","<=10"
"History of bulimia nervosa",44782687,"<=10","<=10"
"History of bypass of stomach",44782670,"31","<=10"
"History of calculus of kidney",4179221,"35","<=10"
"History of cancer of gall bladder",46273374,"<=10","<=10"
"History of cancer of unknown primary site",46273659,"<=10","<=10"
"History of carcinoma in situ of breast",46269986,"<=10","<=10"
"History of cardiac arrest",4324181,"<=10","<=10"
"History of cardiac arrhythmia",44782695,"15","<=10"
"History of cardiac catheterization",44782786,"<=10","<=10"
"History of cardiomyopathy",46270605,"<=10","<=10"
"History of cardiovascular surgery",4323360,"37","<=10"
"History of cardioversion",44784624,"<=10","<=10"
"History of carotid artery stenosis",37312173,"<=10","<=10"
"History of carotid endarterectomy",4326523,"13","<=10"
"History of cataract extraction",4178305,"21","<=10"
"History of cellulitis",43021169,"<=10","<=10"
"History of cerebral hemorrhage",4177999,"<=10","<=10"
"History of cerebrovascular accident",4077982,"344","<=10"
"History of cerebrovascular accident due to ischemia",37209667,"15","<=10"
"History of cerebrovascular disease",4143274,"13","<=10"
"History of cervical conization",46269915,"27","<=10"
"History of cervical discectomy",46274089,"<=10","<=10"
"History of cervical spine fusion",46270330,"<=10","<=10"
"History of chest pain",37109030,"<=10","<=10"
"History of cholecystectomy",4179071,"246","<=10"
"History of chronic lung disease",4188164,"<=10","<=10"
"History of chronic lymphocytic leukemia",46270567,"<=10","<=10"
"History of chronic obstructive airway disease",4151705,"169","<=10"
"History of circumcision",4179820,"<=10","<=10"
"History of claudication",4325697,"<=10","<=10"
"History of clinical finding in subject",4214956,"77","<=10"
"History of closed head injury",46273444,"<=10","<=10"
"History of colectomy",4323485,"76","<=10"
"History of colonoscopy",43531720,"25","<=10"
"History of congenital disease of hip",4077221,"<=10","<=10"
"History of congenital dislocation of hip",4060069,"<=10","<=10"
"History of congenital hypospadias",46269826,"<=10","<=10"
"History of construction of external stoma of urinary system",44784410,"33","<=10"
"History of coronary artery bypass grafting",4163883,"264","<=10"
"History of cosmetic plastic surgery",4323908,"16","<=10"
"History of craniotomy",4177219,"20","<=10"
"History of creation of conduit of right atrium and pulmonary artery",44782672,"<=10","<=10"
"History of Crohns disease",46269999,"18","<=10"
"History of decompression of median nerve",4177547,"24","<=10"
"History of decompression of ulnar nerve",4178023,"<=10","<=10"
"History of deep vein thrombosis",4058288,"304","<=10"
"History of delivery of macrosomal infant",37016298,"<=10","<=10"
"History of diabetes mellitus type 2",43021173,"15","<=10"
"History of difficult intubation",4175851,"<=10","<=10"
"History of disorder of connective tissue",43021168,"<=10","<=10"
"History of disorder of soft tissue",43021165,"<=10","<=10"
"History of disorder of vision",45772105,"<=10","<=10"
"History of diverticulitis",46270011,"12","<=10"
"History of domestic violence",4260751,"<=10","<=10"
"History of drug abuse",4155607,"31","<=10"
"History of drug therapy",4207283,"30","<=10"
"History of dysplasia of cervix",43021172,"12","<=10"
"History of dysplasia of vulva",42539240,"<=10","<=10"
"History of eating disorder",44782686,"<=10","<=10"
"History of egg donation",42538958,"<=10","<=10"
"History of emergency cesarean section",37111274,"56","<=10"
"History of emotional abuse",4193573,"<=10","<=10"
"History of endocarditis",4177215,"<=10","<=10"
"History of endovascular stent graft for repair of abdominal aortic aneurysm",44782722,"<=10","<=10"
"History of esophageal ulcer",37109028,"<=10","<=10"
"History of esophagectomy",37108732,"15","<=10"
"History of esophagitis",46270612,"<=10","<=10"
"History of excision of intestinal structure",40483563,"20","<=10"
"History of excision of lamina of lumbar vertebra for decompression of spinal cord",4179985,"24","<=10"
"History of excision of small intestine",42535529,"25","<=10"
"History of fall",4323345,"13","<=10"
"History of female sterilization",4077357,"<=10","<=10"
"History of flexible sigmoidoscopy",43531590,"<=10","<=10"
"History of fourth degree perineal laceration",37111268,"<=10","<=10"
"History of fundoplication",4323339,"15","<=10"
"History of gastrectomy",4322570,"29","<=10"
"History of gastritis",46270613,"<=10","<=10"
"History of gastroesophageal reflux disease",46270659,"42","<=10"
"History of gastrointestinal bleed",4077226,"<=10","<=10"
"History of gastrointestinal tract bypass",4143055,"<=10","<=10"
"History of gestational diabetes mellitus",43021968,"97","<=10"
"History of gestational hypertension",46273804,"<=10","<=10"
"History of Graves' disease",46270091,"15","<=10"
"History of Guillain Barre syndrome",46270064,"<=10","<=10"
"History of gynecological disorder",4152363,"88","<=10"
"History of harvesting of stem cells for allotransplant",43021399,"17","<=10"
"History of headache",4141052,"14","<=10"
"History of hearing loss",43021962,"<=10","<=10"
"History of heart block",44782704,"<=10","<=10"
"History of heart valve repair",44782787,"<=10","<=10"
"History of heartburn",46270617,"<=10","<=10"
"History of hematemesis",4059325,"<=10","<=10"
"History of hematuria",4058729,"<=10","<=10"
"History of hemolysis-elevated liver enzymes-low platelet count syndrome",37111517,"<=10","<=10"
"History of hemolytic anemia",4059188,"<=10","<=10"
"History of hemorrhoid",37209661,"<=10","<=10"
"History of hepatitis B vaccination",4141818,"<=10","<=10"
"History of hernia repair",46273516,"41","<=10"
"History of Hodgkin lymphoma",43021273,"<=10","<=10"
"History of hypercholesterolemia",4185909,"<=10","<=10"
"History of hysterectomy for benign disease",4181446,"<=10","<=10"
"History of immune thrombocytopenia",40479556,"20","<=10"
"History of immunosuppressive therapy",4058857,"<=10","<=10"
"History of implantation of joint prosthesis into elbow joint",44782460,"<=10","<=10"
"History of implantation of posterior chamber intraocular lens",45763596,"<=10","<=10"
"History of injury of globe of eye",45757054,"<=10","<=10"
"History of insertion of endotracheal tube",4206258,"<=10","<=10"
"History of insertion of stent into ureter",4176453,"122","<=10"
"History of intravenous drug abuse",37109076,"<=10","<=10"
"History of iron deficiency",4175646,"<=10","<=10"
"History of irritable bowel syndrome",46270748,"<=10","<=10"
"History of Kaposi's sarcoma",4323212,"20","<=10"
"History of laparoscopic adjustable gastric banding",4325873,"15","<=10"
"History of laparoscopy",4180754,"52","<=10"
"History of laryngectomy",4323764,"21","<=10"
"History of laser assisted in situ keratomileusis",4178923,"<=10","<=10"
"History of left cataract extraction",4146345,"<=10","<=10"
"History of left mastectomy",4327881,"<=10","<=10"
"History of left oophorectomy",4181946,"<=10","<=10"
"History of left shoulder arthroplasty",37108674,"<=10","<=10"
"History of liver excision",4325856,"<=10","<=10"
"History of loop electrosurgical excision procedure",46270552,"33","<=10"
"History of lower gastrointestinal bleed",46270379,"<=10","<=10"
"History of lumbar discectomy",46274128,"<=10","<=10"
"History of lumbar fusion",46270553,"<=10","<=10"
"History of lung lobectomy",46269981,"23","<=10"
"History of lymphadenopathy",4323364,"<=10","<=10"
"History of major orthopedic surgery",4059344,"<=10","<=10"
"History of malignant basal cell neoplasm of skin",4177063,"<=10","<=10"
"History of malignant lymphoma",4177700,"<=10","<=10"
"History of malignant melanoma of the skin",43530735,"<=10","<=10"
"History of malignant neoplasm of anus",37016142,"<=10","<=10"
"History of malignant neoplasm of bladder",4212565,"19","<=10"
"History of malignant neoplasm of breast",4324190,"130","<=10"
"History of malignant neoplasm of cervix",4178782,"37","<=10"
"History of malignant neoplasm of colon",4327107,"20","<=10"
"History of malignant neoplasm of ear, nose AND/OR throat",4190632,"<=10","<=10"
"History of malignant neoplasm of endometrium",4327885,"<=10","<=10"
"History of malignant neoplasm of esophagus",4178769,"<=10","<=10"
"History of malignant neoplasm of gastrointestinal tract",4190633,"<=10","<=10"
"History of malignant neoplasm of head and/or neck",4333345,"<=10","<=10"
"History of malignant neoplasm of kidney",4190634,"11","<=10"
"History of malignant neoplasm of larynx",43021270,"<=10","<=10"
"History of malignant neoplasm of lung",4187205,"137","<=10"
"History of malignant neoplasm of oral cavity",43021269,"<=10","<=10"
"History of malignant neoplasm of ovary",4324191,"<=10","<=10"
"History of malignant neoplasm of pancreas",46273375,"<=10","<=10"
"History of malignant neoplasm of parotid gland",46270611,"<=10","<=10"
"History of malignant neoplasm of penis",4327872,"<=10","<=10"
"History of malignant neoplasm of prostate",4180749,"52","<=10"
"History of malignant neoplasm of rectum",4324189,"<=10","<=10"
"History of malignant neoplasm of skin",4179242,"<=10","<=10"
"History of malignant neoplasm of small bowel",4178469,"<=10","<=10"
"History of malignant neoplasm of stomach",43021268,"<=10","<=10"
"History of malignant neoplasm of testis",43021271,"13","<=10"
"History of malignant neoplasm of thoracic cavity structure",4179069,"198","<=10"
"History of malignant neoplasm of thymus",4176919,"<=10","<=10"
"History of malignant neoplasm of thyroid",4325851,"<=10","<=10"
"History of malignant neoplasm of tongue",4324321,"<=10","<=10"
"History of malignant neoplasm of uterine body",4179084,"<=10","<=10"
"History of malignant neoplasm of vagina",4325186,"<=10","<=10"
"History of malignant neoplasm of vulva",4181024,"<=10","<=10"
"History of mastectomy",4176605,"24","<=10"
"History of mechanical aortic valve replacement",44782684,"852","<=10"
"History of mechanical heart valve replacement",44782431,"<=10","<=10"
"History of mechanical mitral valve replacement",44784633,"713","<=10"
"History of medical termination of pregnancy",4260758,"12","<=10"
"History of melena",4059912,"11","<=10"
"History of migraine with aura",43531138,"<=10","<=10"
"History of mitral valve replacement",43530651,"342","<=10"
"History of MRI scan",37310842,"<=10","<=10"
"History of multiple myeloma",46270015,"<=10","<=10"
"History of mycosis fungoides",46273633,"<=10","<=10"
"History of myocardial infarction",4163874,"99","<=10"
"History of myocarditis",46270599,"<=10","<=10"
"History of nasal sinus surgery",46270065,"<=10","<=10"
"History of neoplasm of pituitary gland",46270543,"<=10","<=10"
"History of nephrectomy",37016573,"79","<=10"
"History of nephrotic syndrome",46274019,"<=10","<=10"
"History of neuroblastoma",4332932,"<=10","<=10"
"History of neutropenia",46270542,"<=10","<=10"
"History of non-Hodgkins lymphoma",4175993,"<=10","<=10"
"History of non-ST segment elevation myocardial infarction",44784441,"19","<=10"
"History of nutritional deficiency",46273393,"<=10","<=10"
"History of operation on cervix in currently pregnant patient",42534993,"<=10","<=10"
"History of operation on musculoskeletal system",36716060,"<=10","<=10"
"History of operative procedure on elbow",4322545,"<=10","<=10"
"History of operative procedure on foot",42535269,"<=10","<=10"
"History of operative procedure on hip",4176616,"<=10","<=10"
"History of operative procedure on knee",4176776,"45","<=10"
"History of operative procedure on lumbar spinal structure",4180896,"21","<=10"
"History of operative procedure on lumbosacral spinal structure",4176452,"<=10","<=10"
"History of operative procedure on shoulder",4323337,"60","<=10"
"History of opiate therapy",37108764,"<=10","<=10"
"History of orchidopexy",4181460,"<=10","<=10"
"History of orchiectomy",4060081,"11","<=10"
"History of orthopedic surgery",46274015,"<=10","<=10"
"History of osteomyelitis",43021359,"<=10","<=10"
"History of osteopenia",43021794,"<=10","<=10"
"History of osteoporosis",43021371,"<=10","<=10"
"History of osteoporotic fracture",37016184,"<=10","<=10"
"History of palpitations",43021373,"31","<=10"
"History of pancreatitis",46273408,"13","<=10"
"History of papillary adenocarcinoma of thyroid",4181808,"<=10","<=10"
